PropertyId,PropertyDesc,PropertyDeutsch,PropertyEnglisch,PropertyDeutschCH,PropertyFranzoesisch,PropertyNiederlaendisch,PropertyItalienisch,PropertySpanisch,PropertyValueId,PropertyValueDesc,PropertyValueDeutsch,PropertyValueEnglisch,PropertyValueDeutschCH,PropertyValueFranzoesisch,PropertyValueNiederlaendisch,PropertyValueItalienisch,PropertyValueSpanisch
30,Falzen,Falzen,Folding,Falzen,Plier,Vouwen,Piegatura,Plegado,583,Kombifalz,Kombifalz,double parallel fold,Kombifalz,pli combiné,Combinatievouw,combinata (piega centrale + piega a portafoglio),plegado combinado
30,Falzen,Falzen,Folding,Falzen,Plier,Vouwen,Piegatura,Plegado,582,Kreuzfalz: A2 auf A4 gefalzt,Kreuzfalz: A2 auf A4 gefalzt,cross fold: A2 folded to A4,Kreuzfalz: A2 auf A4 gefalzt,plis croisés : de A2 en A4,Kruisvouw: A2 naar A4 gevouwen,piega a croce: A2 in A4,plegado cruzado: A2 en A4
46,Leimen,Leimen,Gluing,Leimen,Coller,Lijmen,Incollatura,Encolado,579,Kopf- und Fußleimung,Kopf- und Fußleimung,glue binding top and bottom,Kopf- und Fußleimung,collage en tête et en pied,Lijmbinding boven en onderkant,incollatura sul lato inferiore e superiore,encolado superior e inferior
46,Leimen,Leimen,Gluing,Leimen,Coller,Lijmen,Incollatura,Encolado,578,Fußleimung,Fußleimung,glue binding bottom,Fußleimung,collage en pied,Lijmbinding onderkant,incollatura sul lato inferiore,encolado inferior
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,202,164 Seiten,164 Seiten,164 sides,164 Seiten,164 pages,164 pagina's,164 facciate,164 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,207,168 Seiten,168 Seiten,168 sides,168 Seiten,168 pages,168 pagina's,168 facciate,168 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,208,172 Seiten,172 Seiten,172 sides,172 Seiten,172 pages,172 pagina's,172 facciate,172 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,217,176 Seiten,176 Seiten,176 sides,176 Seiten,176 pages,176 pagina's,176 facciate,176 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,218,180 Seiten,180 Seiten,180 sides,180 Seiten,180 pages,180 pagina's,180 facciate,180 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,219,184 Seiten,184 Seiten,184 sides,184 Seiten,184 pages,184 pagina's,184 facciate,184 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,221,188 Seiten,188 Seiten,188 sides,188 Seiten,188 pages,188 pagina's,188 facciate,188 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,223,192 Seiten,192 Seiten,192 sides,192 Seiten,192 pages,192 pagina's,192 facciate,192 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,225,196 Seiten,196 Seiten,196 sides,196 Seiten,196 pages,196 pagina's,196 facciate,196 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,227,200 Seiten,200 Seiten,200 sides,200 Seiten,200 pages,200 pagina's,200 facciate,200 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,229,204 Seiten,204 Seiten,204 sides,204 Seiten,204 pages,204 pagina's,204 facciate,204 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,230,208 Seiten,208 Seiten,208 sides,208 Seiten,208 pages,208 pagina's,208 facciate,208 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,274,212 Seiten,212 Seiten,212 sides,212 Seiten,212 pages,212 pagina's,212 facciate,212 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,275,216 Seiten,216 Seiten,216 sides,216 Seiten,216 pages,216 pagina's,216 facciate,216 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,276,220 Seiten,220 Seiten,220 sides,220 Seiten,220 pages,220 pagina's,220 facciate,220 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,277,224 Seiten,224 Seiten,224 sides,224 Seiten,224 pages,224 pagina's,224 facciate,224 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,278,228 Seiten,228 Seiten,228 sides,228 Seiten,228 pages,228 pagina's,228 facciate,228 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,553,232 Seiten,232 Seiten,232 sides,232 Seiten,232 pages,232 pagina's,232 facciate,232 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,279,236 Seiten,236 Seiten,236 sides,236 Seiten,236 pages,236 pagina's,236 facciate,236 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,280,240 Seiten,240 Seiten,240 sides,240 Seiten,240 pages,240 pagina's,240 facciate,240 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,281,244 Seiten,244 Seiten,244 sides,244 Seiten,244 pages,244 pagina's,244 facciate,244 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,282,248 Seiten,248 Seiten,248 sides,248 Seiten,248 pages,248 pagina's,248 facciate,248 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,283,252 Seiten,252 Seiten,252 sides,252 Seiten,252 pages,252 pagina's,252 facciate,252 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,284,256 Seiten,256 Seiten,256 sides,256 Seiten,256 pages,256 pagina's,256 facciate,256 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,285,260 Seiten,260 Seiten,260 sides,260 Seiten,260 pages,260 pagina's,260 facciate,260 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,286,264 Seiten,264 Seiten,264 sides,264 Seiten,264 pages,264 pagina's,264 facciate,264 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,287,268 Seiten,268 Seiten,268 sides,268 Seiten,268 pages,268 pagina's,268 facciate,268 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,288,272 Seiten,272 Seiten,272 sides,272 Seiten,272 pages,272 pagina's,272 facciate,272 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,289,276 Seiten,276 Seiten,276 sides,276 Seiten,276 pages,276 pagina's,276 facciate,276 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,290,280 Seiten,280 Seiten,280 sides,280 Seiten,280 pages,280 pagina's,280 facciate,280 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,291,284 Seiten,284 Seiten,284 sides,284 Seiten,284 pages,284 pagina's,284 facciate,284 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,232,288 Seiten,288 Seiten,288 sides,288 Seiten,288 pages,288 pagina's,288 facciate,288 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,233,292 Seiten,292 Seiten,292 sides,292 Seiten,292 pages,292 pagina's,292 facciate,292 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,234,296 Seiten,296 Seiten,296 sides,296 Seiten,296 pages,296 pagina's,296 facciate,296 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,235,300 Seiten,300 Seiten,300 sides,300 Seiten,300 pages,300 pagina's,300 facciate,300 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,237,304 Seiten,304 Seiten,304 sides,304 Seiten,304 pages,304 pagina's,304 facciate,304 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,238,308 Seiten,308 Seiten,308 sides,308 Seiten,308 pages,308 pagina's,308 facciate,308 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,239,312 Seiten,312 Seiten,312 sides,312 Seiten,312 pages,312 pagina's,312 facciate,312 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,240,316 Seiten,316 Seiten,316 sides,316 Seiten,316 pages,316 pagina's,316 facciate,316 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,241,320 Seiten,320 Seiten,320 sides,320 Seiten,320 pages,320 pagina's,320 facciate,320 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,242,324 Seiten,324 Seiten,324 sides,324 Seiten,324 pages,324 pagina's,324 facciate,324 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,243,328 Seiten,328 Seiten,328 sides,328 Seiten,328 pages,328 pagina's,328 facciate,328 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,244,332 Seiten,332 Seiten,332 sides,332 Seiten,332 pages,332 pagina's,332 facciate,332 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,245,336 Seiten,336 Seiten,336 sides,336 Seiten,336 pages,336 pagina's,336 facciate,336 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,246,340 Seiten,340 Seiten,340 sides,340 Seiten,340 pages,340 pagina's,340 facciate,340 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,247,344 Seiten,344 Seiten,344 sides,344 Seiten,344 pages,344 pagina's,344 facciate,344 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,248,348 Seiten,348 Seiten,348 sides,348 Seiten,348 pages,348 pagina's,348 facciate,348 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,249,352 Seiten,352 Seiten,352 sides,352 Seiten,352 pages,352 pagina's,352 facciate,352 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,250,356 Seiten,356 Seiten,356 sides,356 Seiten,356 pages,356 pagina's,356 facciate,356 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,565,360 Seiten,360 Seiten,360 sides,360 Seiten,360 pages,360 pagina's,360 facciate,360 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,566,364 Seiten,364 Seiten,364 sides,364 Seiten,364 pages,364 pagina's,364 facciate,364 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,567,368 Seiten,368 Seiten,368 sides,368 Seiten,368 pages,368 pagina's,368 facciate,368 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,568,372 Seiten,372 Seiten,372 sides,372 Seiten,372 pages,372 pagina's,372 facciate,372 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,569,376 Seiten,376 Seiten,376 sides,376 Seiten,376 pages,376 pagina's,376 facciate,376 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,570,380 Seiten,380 Seiten,380 sides,380 Seiten,380 pages,380 pagina's,380 facciate,380 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,571,384 Seiten,384 Seiten,384 sides,384 Seiten,384 pages,384 pagina's,384 facciate,384 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,572,388 Seiten,388 Seiten,388 sides,388 Seiten,388 pages,388 pagina's,388 facciate,388 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,573,392 Seiten,392 Seiten,392 sides,392 Seiten,392 pages,392 pagina's,392 facciate,392 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,574,396 Seiten,396 Seiten,396 sides,396 Seiten,396 pages,396 pagina's,396 facciate,396 caras
10,Seite,Seitenanzahl,Number of sides/pages,Seitenanzahl,Nombre de pages,Aantal bladzijden,Numero di facciate,N° de caras/páginas,575,400 Seiten,400 Seiten,400 sides,400 Seiten,400 pages,400 pagina's,400 facciate,400 caras
46,Leimen,Leimen,Gluing,Leimen,Coller,Lijmen,Incollatura,Encolado,590,Kopfleimung,Kopfleimung,glue binding top,Kopfleimung,collage en tête,Lijmbinding boven,incollatura lato superiore,encolado superior
52,Mehrwertsteuerbefreiung,Mehrwertsteuer,VAT,NULL,NULL,Belasting over de toegevoegde waarde,NULL,NULL,576,mit Mehrwertsteuer,(mit  Mehrwertsteuer), (standard rated),NULL,NULL,(met BTW),NULL,NULL
52,Mehrwertsteuerbefreiung,Mehrwertsteuer,VAT,NULL,NULL,Belasting over de toegevoegde waarde,NULL,NULL,577,Mehrwertsteuerbefreit,(mehrwertsteuerbefreit), (zero rated),(mehrwertsteuerbefreit),(exonérés de la TVA),(met vrijstelling van BTW),(esenti da IVA),(exentas de IVA)
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,596,"Deponiegas, Suzhou, China (1159)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,597,"Biomasse/Wasserkraft, CER-Projekte, China/Indien (1160)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,598,"Windenergie, Prony &amp; Kafeate, Neukaledonien (1162)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,606,"Windenergie, Changbin &amp; Taichung, Taiwan (1161)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,607,"Kompostierung, Kapstadt, Südafrika (1164)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,608,"Gasaufbereitung, Kaji-Semoga, Indonesien (1163)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,609,"Aufforstung, San Rafael, Costa Rica (1171)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,610,"Geothermie, Gunung Salak, Indonesien (1177)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,611,"Wasserkraft, Hamzali, Türkei (1170)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,612,"Waldschutz, Sofala, Mosambik (1180)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,613,"Wasserkraft, Renun, Indonesien (1002)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,614,"Wasserkraft, Mobuya, Indonesien (1173)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,615,"Aufforstung, Pendravan, Indien (1001)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,616,"Wasserkraft, Hsikou, Taiwan (1176)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,617,"Biomasse, Siam Cement, Thailand (1174)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,618,"Biomasse, Rio de Janeiro, Brasilien (1179)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,619,"Windenergie, Bandirma, Türkei (1003)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,620,"Waldschutz, Kasigau Wildlife Korridor, Kenia (1004)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,621,"Biogasnutzung, Guangzhou, China (1178)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,622,"Windenergie, Palsodi, Indien (1005)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,623,"Biomasse, Hinganghat, Indien (1172)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,624,"Energieeffizienz, Nordrhein-Westfalen, Deutschland (1007)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,625,"Wasseraufbereitung, West-Kenia, Kenia (1008)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,626,"Wasserkraft, Katuntsi, Bulgarien (1013)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,627,"Windenergie, Anthiyur, Indien (1010)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,628,"Biomasse, Ceará, Brasilien (1011)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,629,"Biomasse, Bandeira e Capelli, Brasilien (1012)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,1322,"Waldschutz, Pará, Brasilien (1056)",mit CO2-Ausgleich,with CO2 balance,mit CO2-Ausgleich,avec compensation de CO2,Met CO2 balans drukken,con compensazione CO2,con compensación de CO2
53,ClimatePartnerProject,Klimaneutraler Druck,CO2 balance,Klimaneutraler Druck,Compensation de CO2,Klimaat neutrale druk,Compensazione CO2,Impresión Clima Neutral,595,kein Klimaneutraler Druck,ohne CO2-Ausgleich,without CO2 balance,ohne CO2-Ausgleich,sans compensation de CO2,Zonder CO2 balans,senza compensazione CO2,sin compensación de CO2
35,"Veredelung (UV-Lack, Cellophanieren, Folienv.)",Veredelung,Finishing,Veredelung,Finition,Veredeling,Nobilitazione,Ennoblecimiento,600,Cellophanierung,Cellophanierung,lamination,Cellophanierung,pelliculage,Lamineren,plastificazione,laminado
